Data Set No,Metallic Materials,Atomic/Molecular Weight(u),Density(g/cc),Temperature (K) at which test was performed,Melting Point(K),Strain rate,Heat capacity(KJ/kg.k),BCC,FCC,HCP,a,b,c,alpha,beta,gamma,Grain size(um),Yield point(stress),Elastic modulus
1,Tantalum,180.947,16.4,469,3290,0.001,0.14,1,0,0,3.301,3.301,3.301,90,90,90,650,884.783,217.3
2,Tantalum,180.947,16.4,298,3290,1300,0.14,1,0,0,3.301,3.301,3.301,90,90,90,650,565.217,543.25
4,Tantalum,180.947,16.4,473,3290,2800,0.14,1,0,0,3.301,3.301,3.301,90,90,90,650,386.957,2499.649
5,Tantalum,180.947,16.4,298,3290,0.1,0.14,1,0,0,3.301,3.301,3.301,90,90,90,650,300.008,978.244
6,Tantalum,180.947,16.4,673,3290,2600,0.14,1,0,0,3.301,3.301,3.301,90,90,90,650,265.217,3041.149
7,Tantalum,180.947,16.4,1073,3290,3900,0.14,1,0,0,3.301,3.301,3.301,90,90,90,650,176.087,977.499
8,Tantalum,180.947,16.4,298,3290,2500,0.14,1,0,0,3.301,3.301,3.301,90,90,90,650,458.87,11551.9
9,Tantalum,180.947,16.4,298,3290,0.1,0.14,1,0,0,3.301,3.301,3.301,90,90,90,650,275.328,4635.999
10,Tantalum,180.947,16.4,298,3290,0.01,0.14,1,0,0,3.301,3.301,3.301,90,0,90,650,193.043,3391.3
11,Tantalum,180.947,16.4,600,3290,2500,0.14,1,0,0,3.301,3.301,3.301,90,90,90,650,289.938,5009.4
12,Tantalum,180.947,16.4,800,3290,2500,0.14,1,0,0,3.301,3.301,3.301,90,90,90,650,245.921,4630.149
13,Copper,63.546,8.96,298,1358,2000,0.389,0,1,0,3.614,3.614,3.614,90,90,90,60,50.878,1839.6
14,Copper,63.546,8.738,473,1358,2000,0.405,0,1,0,3.614,3.614,3.614,90,90,90,60,61.765,2800.15
15,Copper,63.546,8.96,298,1358,0.1,0.389,0,1,0,3.614,3.614,3.614,90,90,90,60,56.002,1967.75
16,Copper,63.546,8.627,673,1358,2000,0.428,0,1,0,3.614,3.614,3.614,90,90,90,60,61.123,2287.8
17,Copper,63.546,8.58,873,1358,2000,0.443,0,1,0,3.614,3.614,3.614,90,90,90,60,47.814,2227.45
18,Copper,63.546,8.464,1073,1358,2000,0.467,0,1,0,3.614,3.614,3.614,90,90,90,60,37.614,1624.6
19,Zirconium,91.224,6.52,298,2128,2800,0.27,0,0,1,3.232,3.232,5.147,90,90,120,160.3,478.882,5306.85
20,Zirconium,91.224,6.52,298,2128,0.1,0.27,0,0,1,3.232,3.232,5.147,90,90,120,160.3,389.171,5685.999
21,Zirconium,91.224,6.52,333,2128,0.01,0.27,0,0,1,3.232,3.232,5.147,90,90,120,160.3,314.623,5686.05
22,Zirconium,91.224,6.52,373,2128,0.01,0.27,0,0,1,3.232,3.232,5.147,90,90,120,160.3,269.136,7202
23,Zirconium,91.224,6.52,423,2128,0.01,0.27,0,0,1,3.232,3.232,5.147,90,90,120,160.3,229.964,5243.7
24,Zirconium,91.224,6.52,633,2128,0.01,0.27,0,1,0,3.232,3.232,5.147,90,90,120,160.3,145.312,2148.3
25,Copper,63.543,8.96,298,1358,0.1,0.389,0,1,0,3.614,3.614,3.614,90,90,90,60,580.293,11605.859
26,Copper,63.543,8.96,298,1358,0.01,0.389,0,1,0,3.614,3.614,3.614,90,90,90,60,555.111,11102.22
27,Copper,63.543,8.96,298,1358,0.001,0.389,0,1,0,3.614,3.614,3.614,90,90,90,60,528.832,10576.64
28,Copper,63.543,8.96,298,1358,0.0001,0.389,0,1,0,3.614,3.614,3.614,90,90,90,60,488.322,9766.439
